,Wuhan-Hu-1,JN.1,JN.2,JN.3,KP.3,XBB.1.5
Wuhan-Hu-1,0.0,2.391636968590396,2.3552835590563226,2.3552835590563226,2.45862351589876,3.656853746134309
JN.1,2.391636968590396,0.0,1.2479979539339765,,1.3344639041805657,3.469215546548237
JN.2,2.3552835590563226,1.2479979539339765,0.0,,1.5300304886957696,3.5132575677743136
JN.3,2.3552835590563226,,,0.0,1.5300304886957696,3.5132575677743136
KP.3,2.45862351589876,1.3344639041805657,1.5300304886957696,1.5300304886957696,0.0,3.481100985482033
XBB.1.5,3.656853746134309,3.469215546548237,3.5132575677743136,3.5132575677743136,3.481100985482033,0.0
