,Wuhan-Hu-1,JN.1,JN.2,JN.3,KP.3,XBB.1.5
Wuhan-Hu-1,0.0,1.74277661134749,1.7426166704225958,1.7426166704225958,1.7523496139509522,1.7201152054097082
JN.1,1.74277661134749,0.0,0.0,0.0,0.4321362388162714,0.5118138764587582
JN.2,1.7426166704225958,0.0,0.0,0.0,0.3911580078330253,0.5165152858845871
JN.3,1.7426166704225958,0.0,0.0,0.0,0.3911580078330253,0.5165152858845871
KP.3,1.7523496139509522,0.4321362388162714,0.3911580078330253,0.3911580078330253,0.0,0.5992271529481548
XBB.1.5,1.7201152054097082,0.5118138764587582,0.5165152858845871,0.5165152858845871,0.5992271529481548,0.0
