,Wuhan-Hu-1,JN.1,JN.2,JN.3,KP.3,XBB.1.5
Wuhan-Hu-1,0.0,2.6975406636317145,2.697359953831775,2.697359953831775,2.700636012829851,2.6646104993698705
JN.1,2.6975406636317145,0.0,0.5257535512842513,,1.1150007711094103,1.5375713114414635
JN.2,2.697359953831775,0.5257535512842513,0.0,,1.096271993286896,1.5329618130970688
JN.3,2.697359953831775,,,0.0,1.096271993286896,1.5329618130970688
KP.3,2.700636012829851,1.1150007711094103,1.096271993286896,1.096271993286896,0.0,1.5644608066733563
XBB.1.5,2.6646104993698705,1.5375713114414635,1.5329618130970688,1.5329618130970688,1.5644608066733563,0.0
