,Wuhan-Hu-1,JN.1,JN.2,JN.3,KP.3,XBB.1.5
Wuhan-Hu-1,0.0,0.1038038776295287,0.1038038776295287,0.1038038776295287,0.1359406568420393,0.0805791450329531
JN.1,0.1038038776295287,0.0,0.0,,0.0377802541907807,0.0292825180284494
JN.2,0.1038038776295287,0.0,0.0,,0.0377802541907807,0.0299898702273818
JN.3,0.1038038776295287,,,0.0,0.0377802541907807,0.0299898702273818
KP.3,0.1359406568420393,0.0377802541907807,0.0377802541907807,0.0377802541907807,0.0,0.0398024118555224
XBB.1.5,0.0805791450329531,0.0292825180284494,0.0299898702273818,0.0299898702273818,0.0398024118555224,0.0
