,Wuhan-Hu-1,JN.1,JN.2,JN.3,KP.3,XBB.1.5
Wuhan-Hu-1,0.0,0.4612475805713231,0.4612475805713231,0.4612475805713231,1.7147874044398028,0.4477200742322779
JN.1,0.4612475805713231,0.0,0.0,,0.3788567539188117,0.0835485870206701
JN.2,0.4612475805713231,0.0,0.0,,0.334541955610067,0.0854930385321057
JN.3,0.4612475805713231,,,0.0,0.334541955610067,0.0854930385321057
KP.3,1.7147874044398028,0.3788567539188117,0.334541955610067,0.334541955610067,0.0,0.2779708541389852
XBB.1.5,0.4477200742322779,0.0835485870206701,0.0854930385321057,0.0854930385321057,0.2779708541389852,0.0
