,Wuhan-Hu-1,JN.1,JN.2,JN.3,KP.3,XBB.1.5
Wuhan-Hu-1,0.0,2.3052128921801973,2.284448911869782,2.284448911869782,2.3968199654506264,2.747399096787412
JN.1,2.3052128921801973,0.0,1.1925973244846275,1.1925973244846275,1.4140335145297316,2.7436038899525896
JN.2,2.284448911869782,1.1925973244846275,0.0,0.0,1.5135537110982455,2.7394037477173887
JN.3,2.284448911869782,1.1925973244846275,0.0,0.0,1.5135537110982455,2.7394037477173887
KP.3,2.3968199654506264,1.4140335145297316,1.5135537110982455,1.5135537110982455,0.0,2.777616750273903
XBB.1.5,2.747399096787412,2.7436038899525896,2.7394037477173887,2.7394037477173887,2.777616750273903,0.0
